Date,Merchant,Amount,Category,Type
2026-04-12,Starbucks Coffee,5.45,Food,Debit
2026-04-11,Amazon Payments,45.90,Shopping,Debit
2026-04-10,Whole Foods Market,124.30,Food,Debit
2026-04-09,Netflix Subscription,15.99,Subscriptions,Debit
2026-04-08,Uber Rides,24.50,Transport,Debit
2026-04-07,Target Supercenter,89.25,Shopping,Debit
2026-04-06,TechCorp Salary Deposit,4500.00,Income,Credit
2026-04-05,Shell Gas Station,45.00,Transport,Debit
2026-04-04,Spotify Premium,10.99,Subscriptions,Debit
2026-04-02,City Utilities Water,52.10,Utilities,Debit
2026-04-01,AMC Theatres,35.00,Entertainment,Debit
2026-03-30,CVS Pharmacy,18.45,Health,Debit
2026-03-29,Starbucks Coffee,6.10,Food,Debit
2026-03-28,Chipotle Mexican Grill,14.25,Food,Debit
2026-03-27,T-Mobile Wireless,75.00,Utilities,Debit
2026-03-26,Gym Membership,45.00,Health,Debit
2026-03-25,Lyft Express,15.20,Transport,Debit
2026-03-23,Best Buy Electronics,299.99,Shopping,Debit
2026-03-22,Uber Eats Delivery,32.50,Food,Debit
2026-03-21,TechCorp Salary Deposit,4500.00,Income,Credit
2026-03-20,H&M Retail Store,65.80,Shopping,Debit
2026-03-19,Steam Games Store,49.99,Entertainment,Debit
2026-03-18,Whole Foods Market,98.15,Food,Debit
2026-03-17,Starbucks Coffee,5.45,Food,Debit
2026-03-15,ConEdison Electricity,112.50,Utilities,Debit
2026-03-14,Amazon Prime Services,14.99,Subscriptions,Debit
2026-03-12,Chevron Gas Station,55.00,Transport,Debit
2026-03-10,Apple iTunes,4.99,Entertainment,Debit
2026-03-09,Trader Joe's,85.60,Food,Debit
2026-03-08,Nike Store,120.00,Shopping,Debit
2026-03-07,Uber Rides,18.90,Transport,Debit
2026-03-06,TechCorp Salary Deposit,4500.00,Income,Credit
2026-03-05,Netflix Subscription,15.99,Subscriptions,Debit
2026-03-04,Spotify Premium,10.99,Subscriptions,Debit
2026-03-03,Target Supercenter,145.20,Shopping,Debit
2026-03-01,City Utilities Water,49.80,Utilities,Debit
2026-02-28,Blink Fitness,25.00,Health,Debit
2026-02-27,Walgreens Pharmacy,32.40,Health,Debit
2026-02-25,Uber Eats Delivery,28.75,Food,Debit
2026-02-23,Starbucks Coffee,12.50,Food,Debit
2026-02-21,TechCorp Salary Deposit,4500.00,Income,Credit
2026-02-20,Hulu Streaming,12.99,Subscriptions,Debit
2026-02-18,Shell Gas Station,42.50,Transport,Debit
2026-02-15,Whole Foods Market,115.30,Food,Debit
2026-02-14,La Cantina Restaurant,85.00,Food,Debit
2026-02-12,Steam Games Store,19.99,Entertainment,Debit
2026-02-10,Amazon Payments,67.85,Shopping,Debit
2026-02-08,Uber Rides,22.10,Transport,Debit
2026-02-06,TechCorp Salary Deposit,4500.00,Income,Credit
2026-02-05,ConEdison Electricity,105.20,Utilities,Debit
